# Copilot library renders - version record (old/ and new/)
#
# old/  ballerina-platform/ballerina-vscode @ main                              eb5d81b3b283b5681306a75bfb48aa3172a9fb80
# new/  Check-PR-s/ballerina-vscode @ L1_json_and_annotations_with_spec_v2      412ba01e36a017d80b299e94ba168db70ba835d9
# Ballerina 2201.13.4 (Swan Lake Update 13)
#
# old/ resolved via PackageUtil.getModulePackage(org, name)          - pinned by cache contents (FORCE_OFFLINE)
# new/ resolved via PackageUtil.getModulePackage(org, name, version) - pinned explicitly (spec-v2 overload)
#
# library                                               pinned      old resolved  new resolved  status

ballerinax/hubspot.marketing.emails                   1.0.2       1.0.2         1.0.2         PIN_OK
ballerinax/hubspot.marketing.events                   1.0.2       1.0.2         1.0.2         PIN_OK
ballerinax/hubspot.marketing.forms                    1.0.2       1.0.2         1.0.2         PIN_OK
ballerinax/hubspot.marketing.subscriptions            2.0.2       2.0.2         2.0.2         PIN_OK
ballerinax/hubspot.marketing.transactional            1.0.2       1.0.2         1.0.2         PIN_OK
ballerinax/mailchimp.marketing                        1.0.2       1.0.2         1.0.2         PIN_OK
ballerinax/mailchimp.transactional                    1.0.2       1.0.2         1.0.2         PIN_OK
ballerinax/twitter                                    5.0.1       5.0.1         5.0.1         PIN_OK
ballerinax/kafka                                      4.6.5       4.6.5         4.6.5         PIN_OK
ballerinax/rabbitmq                                   3.6.0       3.6.0         3.6.0         PIN_OK
ballerinax/aws.sqs                                    5.0.0       5.0.0         5.0.0         PIN_OK
ballerinax/asb                                        3.10.0      3.10.0        3.10.0        PIN_OK
ballerinax/gcloud.pubsub                              0.1.1       0.1.1         0.1.1         PIN_OK
ballerinax/ibm.ibmmq                                  1.4.4       1.4.4         1.4.4         PIN_OK
ballerinax/java.jms                                   1.2.1       1.2.1         1.2.1         PIN_OK
ballerinax/nats                                       3.3.1       3.3.1         3.3.1         PIN_OK
ballerinax/solace                                     0.4.0       0.4.0         0.4.0         PIN_OK
ballerinax/confluent.cavroserdes                      1.0.3       1.0.3         1.0.3         PIN_OK
ballerinax/confluent.cregistry                        0.4.5       0.4.5         0.4.5         PIN_OK
ballerinax/googleapis.sheets                          4.0.0       4.0.0         4.0.0         PIN_OK
ballerinax/googleapis.calendar                        3.2.1       3.2.1         3.2.1         PIN_OK
ballerinax/googleapis.gcalendar                       4.0.1       4.0.1         4.0.1         PIN_OK
ballerinax/jira                                       2.0.2       2.0.2         2.0.2         PIN_OK
ballerinax/asana                                      3.0.1       3.0.1         3.0.1         PIN_OK
ballerinax/trello                                     2.0.1       2.0.1         2.0.1         PIN_OK
ballerinax/smartsheet                                 1.0.2       1.0.2         1.0.2         PIN_OK
ballerinax/docusign.dsadmin                           2.0.0       2.0.0         2.0.0         PIN_OK
ballerinax/candid                                     0.2.1       0.2.1         0.2.1         PIN_OK
ballerinax/aws.secretmanager                          0.4.1       0.4.1         0.4.1         PIN_OK
ballerinax/scim                                       1.0.2       1.0.2         1.0.2         PIN_OK
ballerinax/aws.s3                                     4.0.0       4.0.0         4.0.0         PIN_OK
ballerinax/azure_storage_service                      4.3.4       4.3.4         4.3.4         PIN_OK
ballerinax/microsoft.onedrive                         3.0.2       3.0.2         3.0.2         PIN_OK
ballerinax/alfresco                                   2.0.2       2.0.2         2.0.2         PIN_OK
ballerina/ai.eval                                     0.9.0       0.9.0         0.9.0         PIN_OK
ballerina/ai.np                                       0.5.1       0.5.1         0.5.1         PIN_OK
ballerinax/ai.agent                                   0.9.2       0.9.2         0.9.2         PIN_OK
ballerinax/ai.aws.dynamodb                            1.0.0       1.0.0         1.0.0         PIN_OK
ballerinax/ai.azure                                   1.5.0       1.5.0         1.5.0         PIN_OK
ballerinax/ai.googleapis.vertex                       1.0.2       1.0.2         1.0.2         PIN_OK
ballerinax/ai.memory.postgresql                       1.0.0       1.0.0         1.0.0         PIN_OK
ballerinax/ai.memory.redis                            1.1.0       1.1.0         1.1.0         PIN_OK
ballerinax/ai.microsoft.sharepoint                    1.0.1       1.0.1         1.0.1         PIN_OK
ballerinax/ai.milvus                                  1.0.4       1.0.4         1.0.4         PIN_OK
ballerinax/ai.mistral                                 1.2.4       1.2.4         1.2.4         PIN_OK
ballerinax/ai.openai                                  1.4.0       1.4.0         1.4.0         PIN_OK
ballerinax/ai.openrouter                              1.0.2       1.0.2         1.0.2         PIN_OK
ballerinax/ai.pinecone                                1.1.5       1.1.5         1.1.5         PIN_OK
ballerinax/ai.sqlite                                  1.0.0       1.0.0         1.0.0         PIN_OK
ballerinax/ai.weaviate                                1.0.5       1.0.5         1.0.5         PIN_OK

# TOTAL 162 libraries; 162 matched the pinned version in BOTH old/ and new/; 0 mismatched
